0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0
6	983333.3	0	0	0	1087116	0	0	0
8	25333333	32866667	50383333	59100000	8405745	9555587	7527552	9009008
10	82933333	36241667	53358333	32850000	13634171	8545448	7402007	3263902
12	212000000	51533333	61800000	40425000	25655593	6460623	8635167	11071754
14	377000000	136000000	56566667	29091667	30643003	17809662	9721924	10759737
16	737000000	349000000	70125000	35683333	49791888	40280644	9762979	11955425
18	1160000000	666000000	170000000	35525000	82363141	58747537	21273133	11879239
20	1480000000	1090000000	414000000	77725000	70786854	66013074	51085051	22719755
22	1820000000	1570000000	702000000	166000000	52416667	87133020	82566292	49053669
24	0	0	1110000000	304000000	0	0	120000000	89390298
